Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,85_9_switch-potential-switch.xvg,3.376967240653711,0.13915211727663881,8.423300365387767,0.34709252319364964,2.013217104538185,0.08295710401377858,3.4194659817604833,0.013670913524927464,8.529306623661062,0.03409988983707601,2.0385532083319937,0.00815006927272371,3.4074061894795076,0.010244893443903863,8.499225416030757,0.025554235069419583,2.031363627158403,0.006107608764201621
sim_1,85_9_switch-potential-switch.xvg,3.4757415374368437,0.13673349383083389,8.669676924854546,0.3410596569255006,2.072102515500608,0.08151521437033953,3.4976388554350084,0.01366230199211267,8.724296254433606,0.03407840975677432,2.0851568485739973,0.00814493541031891,3.4917288668222835,0.01022202813383944,8.709554740615614,0.025497201239685695,2.0816335422121446,0.006093977351741323
sim_2,85_9_switch-potential-switch.xvg,3.2780161408592012,0.14480637617197187,8.176482799312335,0.36119616045897185,1.9542262904666192,0.08632795422059555,3.47939747951399,0.013668398977650223,8.678796082974747,0.03409361770427466,2.0742820466000826,0.00814857019700637,3.472714660254654,0.010231308956961845,8.662126867700367,0.025520350756760353,2.0702980085325926,0.006099510219110982
sim_3,85_9_switch-potential-switch.xvg,3.5292591018531723,0.13735438188461144,8.803167861478338,0.34260836207942946,2.104007615076084,0.0818853637857145,3.4234012952410104,0.013704262154799531,8.539122628708249,0.03418307261800585,2.0408992898442277,0.008169950434513826,3.4124472934993983,0.01025676674794456,8.511799637308807,0.02558385111219914,2.034368938171321,0.006114687168307633
sim_4,85_9_switch-potential-switch.xvg,3.294492884112728,0.14174862524472256,8.217581379066685,0.3535690937250411,1.9640490867750202,0.08450504152128131,3.462448506959351,0.013665421374792236,8.636519603359032,0.03408619055397846,2.0641777254682196,0.008146795065482423,3.4537441991802753,0.010225861276920037,8.614808110865624,0.025506762397141624,2.0589885542221853,0.006096262523217405
sim_5,85_9_switch-potential-switch.xvg,3.5720631312177806,0.13764775754427938,8.90993561209388,0.34334014036603155,2.129525719907715,0.08206026299379338,3.4714036187690382,0.013645159275091301,8.658856686073527,0.03403565001282078,2.0695164163655657,0.008134715586238236,3.4708803167461437,0.010205335376631234,8.657551393541343,0.025455563847946006,2.069204443963036,0.006084025776277725
sim_6,85_9_switch-potential-switch.xvg,3.570834409688918,0.13605094613923718,8.906870764327982,0.3393571517454657,2.1287932037112767,0.0811083058665071,3.429974607404187,0.019348941507969116,8.555518696185402,0.04826281525976333,2.0448180440213672,0.011535089689235977,3.419815971975421,0.014475352495465237,8.530179617828692,0.036106433161775614,2.038761858945672,0.008629644637135662
sim_7,85_9_switch-potential-switch.xvg,3.6094346360748784,0.13959013779909135,9.003152806127703,0.34818509477160414,2.1518051639884566,0.0832182348880507,3.4857617605118314,0.013655948156576154,8.694670755908847,0.03406256113835954,2.078076184490642,0.008141147499607919,3.476412586660967,0.010219060327280522,8.67135074896119,0.02548979852467823,2.072502569063382,0.006092208060391544
sim_8,85_9_switch-potential-switch.xvg,3.4864521433791116,0.1366861639694454,8.696392804671481,0.34094160021653175,2.07848776402282,0.08148699813970643,3.4105376550286906,0.013692195888932168,8.507036352005228,0.03415297526305794,2.0332304856609054,0.008162756994038704,3.3981090078270677,0.010259891663367026,8.476035095240167,0.025591645709938497,2.025821007466579,0.0061165501218782255
sim_9,85_9_switch-potential-switch.xvg,3.3305368454683792,0.13801821693429822,8.307487229855544,0.34426419159097116,1.9855371008258949,0.08228111653703898,3.4171721100834365,0.013685937993499906,8.523584930568274,0.03413736595176627,2.037185690862398,0.008159026279102836,3.4117151648383,0.010243657939092946,8.509973460393526,0.025551153301850163,2.0339324714133666,0.006106872204075087
Average,,3.4523798070744727,0.138778821679513,8.611404854717625,0.34616139750731967,2.0581751564812683,0.0827345596336806,3.449720187070702,0.014239948084635076,8.604770861387799,0.035519254809587716,2.05658959402194,0.008489305642826891,3.4414974257284014,0.01065841563614067,8.584260508848608,0.026585699512139488,2.051687502114868,0.00635413468263372
