Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,85_9_force_switch-potential-shift.xvg,3.7211922950474134,0.14200604362399483,9.281914269468404,0.3542111823725347,2.218430752741014,0.08465850439114117,3.639519355471176,0.013770088565754823,9.078194288565765,0.03434726598795532,2.169740508739427,0.008209193591767522,3.6397118650818223,0.010277395283525418,9.078674472754162,0.025635305668584484,2.169855275514857,0.0061269851024341486
sim_1,85_9_force_switch-potential-shift.xvg,3.60541071270871,0.14648278649421237,8.993115778005992,0.3653776957459812,2.1494062566935925,0.08732736514005286,3.6936948525145237,0.013775471190175798,9.21332633205931,0.034360692076815795,2.2020378422703892,0.00821240250401907,3.688807190342448,0.010275971548426199,9.201134846733568,0.02563175439090636,2.199124007345499,0.00612613632669846
sim_2,85_9_force_switch-potential-shift.xvg,3.922644818933146,0.1411121432921624,9.784405113213307,0.35198149210456314,2.338528946752702,0.08412559562728564,3.7359665641853024,0.013769671211503985,9.31876630200498,0.0343462249650602,2.2272385999055873,0.008208944781324138,3.734020888134188,0.010273170149127963,9.31391312676686,0.02562476675198338,2.226078663185196,0.006124466240913809
sim_3,85_9_force_switch-potential-shift.xvg,3.782400590624885,0.1370199965286828,9.434588495115518,0.34177429171686685,2.254920768431051,0.08168601618471961,3.6755669852503257,0.01377534264324376,9.168109289645637,0.034360371437217464,2.1912307097623414,0.008212325869315838,3.6725605810729545,0.010282028384566455,9.160610299101432,0.02564686219220782,2.1894384080070344,0.006129747177869938
sim_4,85_9_force_switch-potential-shift.xvg,3.8632455986852237,0.14231520651285315,9.636243334326396,0.3549823393572203,2.30311743172237,0.08484281533394367,3.6574985924885812,0.01375679165369979,9.123040596790178,0.03431409898449039,2.18045903364966,0.008201266487688907,3.6472376094907775,0.010276234526619089,9.097446228922426,0.025632410347612607,2.1743418329164497,0.006126293104113911
sim_5,85_9_force_switch-potential-shift.xvg,3.7587336374093914,0.1424032773630943,9.375555095777866,0.35520201789483996,2.2408114473656466,0.0848953197645411,3.6734905415508408,0.013795898099499809,9.162929935590313,0.034411643709008524,2.189992814433631,0.008224580236378709,3.66161260065506,0.01030510329654032,9.133302326923278,0.025704418840113926,2.1829116460141673,0.006143503546872352
sim_6,85_9_force_switch-potential-shift.xvg,3.7624720382326284,0.1420994631848378,9.384879933946637,0.35444420240646035,2.2430401371765383,0.0847141975158844,3.737254013348675,0.013767411015079178,9.32197763638741,0.03434058726945518,2.2280061272436447,0.008207597339735941,3.734837326772444,0.010276980199785457,9.31594960132816,0.025634270309112712,2.226565392286845,0.0061267376455814305
sim_7,85_9_force_switch-potential-shift.xvg,3.5100132706382676,0.14361452928804477,8.755162238221738,0.35822329055013435,2.0925339957508933,0.08561742125959233,3.6424865449567108,0.013773435326845444,9.085595464383164,0.03435561394394912,2.1715094322139494,0.008211188801135066,3.636612233214077,0.010295435762252197,9.070942940765983,0.02568030473437987,2.1680073950205503,0.006137740137280083
sim_8,85_9_force_switch-potential-shift.xvg,3.7662909499443487,0.13940570719030418,9.3944055935472,0.3477250623508914,2.2453168244615673,0.08310828450069105,3.6916343723286573,0.013768774224987963,9.208186796415156,0.034343987576803306,2.2008094637703524,0.008208410032696773,3.6860726468521396,0.010284399870418902,9.194313968845329,0.025652777481348605,2.197493778404715,0.006131160965905497
sim_9,85_9_force_switch-potential-shift.xvg,3.6995310267740904,0.13868944524973137,9.2278837278733,0.34593846241201476,2.2055171433731595,0.08268127686711634,3.7154611467957768,0.013764084295074353,9.26761884409947,0.03433228930271898,2.2150140640773106,0.00820561407808771,3.7133896645805855,0.010278207239982932,9.26245186566685,0.025637330963068514,2.2137791265934155,0.0061274691594332
Average,,3.7391934938998106,0.14151485987279178,9.326815357949638,0.3529860036911507,2.2291623704468537,0.08436567965849683,3.686257296889057,0.01377169682258649,9.19477454859414,0.034351277525347425,2.1976038596066294,0.008210152372214969,3.68148626061965,0.010282492626124493,9.182873967780806,0.02564802016793183,2.194759552528873,0.006130023940710283
