Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,75_8_switch-potential-switch.xvg,3.618850871157335,0.1395810782035764,9.026640086506319,0.34816249707113117,2.1574187587252194,0.08321283390801414,3.460027497221894,0.013669170155396686,8.630480784871061,0.0340955412828381,2.0627344132101006,0.008149029943316946,3.452922722980328,0.010221541975688605,8.612759070918813,0.025495988596554234,2.0584988219213223,0.006093687523077015
sim_1,75_8_switch-potential-switch.xvg,3.4561627646967112,0.14342987373173913,8.6208408326383,0.3577626970341016,2.060430409330378,0.08550733676723268,3.404099956398735,0.013706019610504412,8.490978550623813,0.034187456307934155,2.0293925790209877,0.00817099816155214,3.3939186487972806,0.010264613448449597,8.465582920187419,0.025603423441606276,2.023322877673857,0.006119365067305514
sim_2,75_8_switch-potential-switch.xvg,3.490145233769198,0.14170113997430392,8.70560462326946,0.3534506493733006,2.080689441507997,0.08447673264180225,3.4282967297845026,0.013673156241846927,8.55133350096147,0.034105483932872896,2.0438177583559916,0.00815140629370767,3.4271004473296114,0.010232856007345624,8.54834956723594,0.025524209624535575,2.0431045810793353,0.006100432510644257
sim_3,75_8_switch-potential-switch.xvg,3.393277625880093,0.1380169329568772,8.463983991862747,0.3442609889162903,2.0229407246325875,0.08228035107941928,3.4371177220576055,0.013686424366729502,8.573336044113983,0.03413857913137703,2.0490764923790588,0.008159316235988773,3.4368748720696005,0.010235687325755534,8.572730293969869,0.025531271891859234,2.048931714619949,0.006102120433044749
sim_4,75_8_switch-potential-switch.xvg,3.6408763578301038,0.13908719012084728,9.081579112181517,0.3469305728707331,2.1705495009994062,0.08291839695763219,3.483383139137171,0.019322133948898933,8.68873766835825,0.048195948125432674,2.0766581425330424,0.011519108060571862,3.4798329734113556,0.014469067284451876,8.67988235229375,0.036090755716170576,2.074541671198315,0.00862589763770807
sim_5,75_8_switch-potential-switch.xvg,3.6436418827773993,0.1429472068377517,9.088477268319547,0.35655876228000016,2.172198199885169,0.08521958945506695,3.5226162755221164,0.013670110389347984,8.786598402116107,0.03409788654485017,2.1000474192438117,0.008149590474390575,3.5136740436327436,0.010228128329919695,8.764293446286404,0.025512417195367225,2.094716406856215,0.006097614052430025
sim_6,75_8_switch-potential-switch.xvg,3.5711816894396944,0.1371133679614027,8.907736997679727,0.34200719170294847,2.1290002384511775,0.0817416806173395,3.4968368966386247,0.01367337984354992,8.722295897503493,0.03410604167127315,2.0846787517933776,0.008151539596384596,3.484512159006739,0.010231141260530265,8.691553826408402,0.025519932465046885,2.077331220460899,0.006099410244992085
sim_7,75_8_switch-potential-switch.xvg,3.5474211356534817,0.13914166775989217,8.848470126808195,0.3470664585587398,2.114835116349951,0.0829508744165248,3.4785469444762906,0.01935474459604071,8.676674560441873,0.0482772901274154,2.0737749905453806,0.011538549265634655,3.4678877864851643,0.014501248906066489,8.6500870092449,0.03617102758314097,2.06742041329945,0.008645083074364474
sim_8,75_8_switch-potential-switch.xvg,3.594287079311738,0.14309267967903896,8.965369667789355,0.3569216208302453,2.1427747771963084,0.08530631472998214,3.4149204481125146,0.013691898026175781,8.517968522782594,0.03415223229243196,2.035843337185132,0.008162579419797313,3.4030817600527183,0.010256490292928609,8.488438823986792,0.025583161539730438,2.028785569786518,0.006114522356532131
sim_9,75_8_switch-potential-switch.xvg,3.7579472724647025,0.14010242488658384,9.37359363519685,0.34946291232319626,2.2403426470355754,0.0835236406126186,3.4372061401860066,0.013687073815037554,8.573556588880987,0.034140199075480916,2.0491292038434477,0.008159703411921826,3.428062577055085,0.010248720249675337,8.550749444726776,0.025563780419479563,2.0436781655656726,0.006109890157619399
Average,,3.5713791912980453,0.14042135621120133,8.908229634225204,0.3502584350960687,2.129117981411377,0.08371377511856326,3.4563051749535463,0.014813411099352844,8.621196052065363,0.03694966584919065,2.060515308811033,0.008831182086326635,3.4487867990820624,0.011088949508081163,8.602442675525907,0.027659596847349095,2.0560331442461535,0.006610802305771772
