file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_0_75_8_force_switch-potential-shift_sim_0_analysis.log,3.8220761156049647,0.1443035614122862,3.942931005091131,0.013968265383418837,3.93754437972931,
sim_1_75_8_force_switch-potential-shift_sim_1_analysis.log,3.899290134724418,0.15262035915767339,3.8815504546688953,0.013993251251342797,3.881410020299573,
sim_6_75_8_force_switch-potential-shift_sim_6_analysis.log,3.8702853323745927,0.15452889958822233,3.8925250615523392,0.019739904837798545,3.88584226541516,
sim_9_75_8_force_switch-potential-shift_sim_9_analysis.log,4.141253235254581,0.14919639265827256,3.9207322725866263,0.013978739955731932,3.912820838397497,
sim_5_75_8_force_switch-potential-shift_sim_5_analysis.log,3.805783615009214,0.14612742454752997,3.8675665055714816,0.013967523870501812,3.85860532903987,
sim_4_75_8_force_switch-potential-shift_sim_4_analysis.log,4.097528400635731,0.14913961514382176,3.915402684655758,0.01397985799081817,3.9033374809818775,
sim_7_75_8_force_switch-potential-shift_sim_7_analysis.log,4.255816933726271,0.15297333156543036,3.9569401096145533,0.013996296381196318,3.948153818982367,
sim_3_75_8_force_switch-potential-shift_sim_3_analysis.log,3.462266431975773,0.1509653980599034,3.8843040290939523,0.013961986092733296,3.869109318914086,
sim_8_75_8_force_switch-potential-shift_sim_8_analysis.log,3.79878439227398,0.142241816588512,3.904048582856232,0.013953013245810723,3.8960744989039053,
sim_2_75_8_force_switch-potential-shift_sim_2_analysis.log,3.887226743415561,0.14636001749423722,3.9108544111314227,0.013959263623409294,3.900688910556357,
