Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,95_1_shift-force-switch.xvg,3.529024426541893,0.14363188989248224,8.802582501747438,0.3582665937791207,2.103867710742695,0.08562777097971336,3.5679231535281257,0.013738182084337896,8.899609105171884,0.03426768041385143,2.1270576255190923,0.008190172183042884,3.5586090078107944,0.01026574482109028,8.876376470256277,0.025606245468264666,2.12150489250867,0.006120039547864404
sim_1,95_1_shift-force-switch.xvg,3.9474946162065403,0.1403900989806834,9.84638892636166,0.3501804689736636,2.353343433642844,0.08369514076808403,3.5472256997390215,0.013729063530015564,8.847982643426697,0.03424493565013846,2.1147186050255007,0.008184736054048389,3.5414566709971997,0.010260012182731506,8.833592731281882,0.025591946326063705,2.111279333480373,0.006116621970856527
sim_2,95_1_shift-force-switch.xvg,3.6808026466588677,0.13876232035876562,9.181168802964185,0.3461202376229692,2.1943520083566406,0.08272472218522206,3.6298472203426417,0.013710018903329036,9.05406870677703,0.03419743189914079,2.1639743563042617,0.00817338238507189,3.627537433685367,0.010245812815253545,9.048307316331792,0.025556528293035282,2.1625973509397207,0.006108156857800019
sim_3,95_1_shift-force-switch.xvg,3.7636419405779176,0.13849774038641458,9.387798066741622,0.34546028553609387,2.243737587653351,0.08256698985088284,3.6091315804626003,0.01374552995202825,9.002396882759864,0.03428600848522147,2.151624493967463,0.008194552697232663,3.60295245297895,0.010267986316849774,8.986984045417465,0.025611836518074884,2.147940737432472,0.0061213758408400765
sim_4,95_1_shift-force-switch.xvg,3.572519560252449,0.13703534367034756,8.911074100737837,0.3418125726875663,2.129797825224148,0.0816951655563017,3.616140585629674,0.013715593118495201,9.019879716195167,0.03421133588022792,2.1558029914424393,0.008176705516306863,3.6069153984045275,0.010250873307086959,8.996868973896907,0.025569150874088568,2.1503032920403693,0.006111173727076617
sim_5,95_1_shift-force-switch.xvg,3.7677596078133244,0.13765235496793052,9.398068923832268,0.3433516078981575,2.2461923814130658,0.08206300379975082,3.58353937361548,0.013740480627407564,8.938561248617113,0.03427341375898001,2.1363674112373596,0.008191542485415874,3.5748390607919753,0.010268169465706523,8.916859720896333,0.025612293353371774,2.1311806216291425,0.006121485027096505
sim_6,95_1_shift-force-switch.xvg,3.5246209888419826,0.14159938634480077,8.791598836303459,0.3531968413486757,2.101242551697767,0.08441607106803911,3.5839146031476883,0.013744908249540798,8.939497198192727,0.03428445774859404,2.136591108554667,0.008194182062283468,3.5776592065773536,0.010260503810625276,8.923894119909285,0.025593172612587124,2.132861883343519,0.0061169150603697705
sim_7,95_1_shift-force-switch.xvg,3.6099926385403345,0.13417321923211792,9.00454465331964,0.3346734646926489,2.1521378234511563,0.07998887779461016,3.588023237534264,0.013728622616230184,8.949745524298192,0.03424383586178257,2.1390405172796823,0.008184473198322793,3.5855294804413336,0.010252613714371034,8.94352524925993,0.025573492039479628,2.1375538358651838,0.0061122112905066025
sim_8,95_1_shift-force-switch.xvg,3.7093157496639972,0.14027397937986602,9.252290141681986,0.34989082734959964,2.211350416271985,0.08362591475850852,3.6496465489999483,0.01371920818769846,9.103454940171833,0.03422035308755351,2.1757779493718528,0.008178860680581622,3.6497973278934754,0.010240410305936953,9.103831033813977,0.025543052604508426,2.1758678379096503,0.006104936090943696
sim_9,95_1_shift-force-switch.xvg,3.3805273932379993,0.14400963761600596,8.4321805920607,0.3592088245770025,2.015339529651219,0.08585296954517267,3.6165756158569025,0.019412683377695073,9.020964828963763,0.0484218090776747,2.15606233961849,0.011573090123727222,3.6086190119529746,0.014509418280089427,9.001118363246132,0.03619140476961882,2.1513189204699166,0.008649953338819029
Average,,3.648569956833531,0.13960259708294145,9.100769554575079,0.34821617244654984,2.1751361268104867,0.08322566263062853,3.599196761885634,0.014298429064677803,8.977616079457428,0.03566512618631649,2.145701739832081,0.008524169738603368,3.593391505153395,0.010682154501974128,8.963135802431,0.026644912285909282,2.142240870561902,0.006368286875217325
