Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,95_1_switch-potential-switch.xvg,3.6627513017695765,0.13789893359144956,9.136142633278194,0.34396665852245156,2.183590495525381,0.08221000442697217,3.430405484543453,0.013692025989230496,8.556593449745614,0.03415255147564243,2.045074916287193,0.008162655706415493,3.4247903993251847,0.01024591653318343,8.542587524902363,0.025556787000690542,2.0417274199097424,0.006108218690413608
sim_1,95_1_switch-potential-switch.xvg,3.4909846817843846,0.15374461524975966,8.707698491012067,0.38349115686387586,2.081189887909194,0.09165658624853629,3.449283137561336,0.013657518520267932,8.603680711845444,0.03406647815742312,2.0563290420280698,0.008142083689632675,3.443176433122045,0.010225621049112007,8.588448522111547,0.02550616318760272,2.052688461307731,0.006096119308700457
sim_2,95_1_switch-potential-switch.xvg,3.352872038711654,0.14157452949251292,8.363198768641649,0.35313483993793116,1.9988524781648298,0.08440125237522254,3.4612251293879286,0.013691716941930868,8.633468085233444,0.03415178060697645,2.063448395132276,0.008162471464382514,3.453025002874333,0.010249702549862091,8.613014191625396,0.025566230608934294,2.058559797233603,0.0061104757669537026
sim_3,95_1_switch-potential-switch.xvg,3.39319932706565,0.1425155479302362,8.463788688093032,0.3554820587249209,2.022894045911336,0.08496225112928318,3.4151657747529978,0.013694643543167696,8.518580450537042,0.03415908054195087,2.0359895914285473,0.008164216190714833,3.4090403720057303,0.010261203783475949,8.503301620888339,0.025594918582017286,2.0323378635010365,0.0061173323570787004
sim_4,95_1_switch-potential-switch.xvg,3.3901252194812255,0.1366209373028346,8.456120822314709,0.340778902812162,2.0210613820063834,0.08144811252680735,3.4437879431245264,0.013671620172613766,8.589973835228395,0.03410165245580756,2.053053019892064,0.008150490548711175,3.4333978263581724,0.010244498113673955,8.564057363993244,0.025553248981894084,2.046858834606416,0.0061073730836266925
sim_5,95_1_switch-potential-switch.xvg,3.2912438462478795,0.13643731208261353,8.20947717790516,0.340320879303387,1.9621121362106022,0.08133864228092423,3.460458275819816,0.013650953208715604,8.631555292635777,0.03405010204617991,2.0629912267293924,0.00813816970510992,3.4555747421131287,0.01020771659137929,8.61937410510138,0.025461503404248447,2.0600798530357025,0.006085445364304122
sim_6,95_1_switch-potential-switch.xvg,3.403901970848562,0.1377607064369506,8.490484707587068,0.3436218731697893,2.029274547702454,0.08212759874994964,3.501749179188998,0.013655324707583384,8.734548794393733,0.03406100604535615,2.0876072644344483,0.008140775823459881,3.494927844298207,0.010220523521136041,8.71753407420743,0.025493448225862605,2.0835406487111445,0.0060930803599098
sim_7,95_1_switch-potential-switch.xvg,3.6740961425100753,0.14417601529068147,9.164440509551406,0.35962382686397026,2.1903538502751925,0.08595215747226821,3.4019575600502936,0.013704355886276661,8.485634688318196,0.034183306416064665,2.0281153652768156,0.008170006313590982,3.3929446121679927,0.010262262486905772,8.463153342844585,0.025597559347044527,2.0227421947525297,0.006117963515068003
sim_8,95_1_switch-potential-switch.xvg,3.3718523474221587,0.14291239359443536,8.410542088817126,0.3564719262569507,2.0101678032545713,0.08519883514745474,3.3973238108586976,0.013686012350298846,8.474076547987783,0.03413755142281383,2.0253529034387627,0.00815907060774709,3.3920096991515045,0.010258577049511228,8.460821353046583,0.025588366617610152,2.0221848358141927,0.006115766400002426
sim_9,95_1_switch-potential-switch.xvg,3.6612753548348596,0.13379777029594003,9.132461121593739,0.33373696784920326,2.182710593115138,0.07976504967715183,3.4867917239752035,0.013653726454052004,8.697239833723081,0.03405701945958393,2.078690208824828,0.008139823006592715,3.480452863552222,0.010207385966562767,8.681428568314802,0.025460678713945174,2.074911225696654,0.006085248258591103
Average,,3.4692302230676026,0.14074387612674139,8.653435500879414,0.35106290903046417,2.068220722007508,0.08390604900345702,3.444814801926325,0.013675789777413724,8.592535168964849,0.03411205286277989,2.0536651933472396,0.008152976305635728,3.437933979496852,0.010238340764480252,8.575372066703567,0.025537890466984986,2.0495631134568755,0.006103702310464861
