Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,8_9_shift-force-switch.xvg,3.8409724000512258,0.14368612728810365,9.580686431098698,0.3584018802186383,2.289839013168905,0.0856601052147797,3.793875156543221,0.013853678585878396,9.463209949931253,0.03455576781722191,2.2617614603086165,0.008259026724957434,3.785651824187319,0.010332347066532223,9.442698173090692,0.025772374032265236,2.256859027985347,0.006159745227596854
sim_1,8_9_shift-force-switch.xvg,4.030002332313488,0.1520401393838243,10.052191122741995,0.379239616602695,2.4025313390874743,0.09064044373869383,3.7863042718600113,0.013856399444479264,9.444325598626133,0.03456255456035964,2.257247992023454,0.008260648795497046,3.780493401397803,0.010330135134403532,9.42983131905531,0.02576685672416597,2.2537837760648447,0.0061584265593130905
sim_2,8_9_shift-force-switch.xvg,3.7411731615160675,0.1459340078414935,9.331753319667067,0.36400885586790493,2.2303425716221477,0.08700020455733866,3.811146551062693,0.013845707529421146,9.506290659159118,0.034535885301939975,2.2720579969309553,0.008254274689756208,3.809007209572145,0.010307748906543557,9.500954416704028,0.025711017887756035,2.270782604374767,0.0061450807571118635
sim_3,8_9_shift-force-switch.xvg,3.8869312087732513,0.14131406553174602,9.695323270224826,0.3524851545783914,2.31723787529274,0.08424597384760787,3.7977411595925368,0.013839030054416633,9.472853071281635,0.03451922941704768,2.26406622162563,0.0082502938377265,3.7940154638934853,0.010322653141125026,9.463559923996893,0.025748194098139294,2.2618451061178044,0.006153966084641322
sim_4,8_9_shift-force-switch.xvg,3.8400500711431604,0.1566106635656262,9.578385830330415,0.3906400523389721,2.289289156388722,0.0933652132741329,3.761642536930406,0.013857273157425628,9.382810876675965,0.03456473389644907,2.24254562062045,0.008261169669323389,3.754452954743741,0.010331895578569117,9.364877622976945,0.025771247868327723,2.2382594701187726,0.006159476067955956
sim_5,8_9_shift-force-switch.xvg,3.7263395453840222,0.1489370771185283,9.29475325562117,0.371499528040856,2.2214993440777175,0.08879051817420076,3.7540897014928962,0.013859470696633376,9.36397154630444,0.03457021530372739,2.238042912596663,0.008262479757105015,3.7548817501852376,0.010332331438249706,9.365947184077672,0.025772335050034005,2.238515101356996,0.006159735910619982
sim_6,8_9_shift-force-switch.xvg,3.7736340849431698,0.1414602385584762,9.412721859981186,0.3528497596283438,2.2496945172039164,0.08433311654597125,3.7788689992345468,0.013835593215425523,9.425779509736413,0.03451065677625298,2.252815370395892,0.008248244927402719,3.774868029202487,0.010313470060281993,9.415799735006225,0.025725288383423046,2.250430146990015,0.006148491487433806
sim_7,8_9_shift-force-switch.xvg,3.6077694344698275,0.14600756544455543,8.998999229178715,0.3641923334501834,2.150812435272159,0.08704405675195587,3.6847081096786933,0.013843510549997828,9.190910350849482,0.03453040529095367,2.1966802941800863,0.008252964935696383,3.6795699708810887,0.01032584466057266,9.178094091961848,0.025756154828881887,2.1936171347901166,0.006155868744952649
sim_8,8_9_shift-force-switch.xvg,3.682352983507549,0.14602626069265587,9.185035868296286,0.364238965732623,2.1952762591530317,0.08705520213494813,3.7162902657541643,0.013847268820861418,9.269686947675085,0.03453977969173476,2.21550835269481,0.008255205471255918,3.7111912551287127,0.010327612137397864,9.256968287704856,0.02576056351487929,2.2124685200059404,0.0061569224461948575
sim_9,8_9_shift-force-switch.xvg,3.6360579679642333,0.14119450949546575,9.069560415455898,0.35218694132006884,2.1676769635410844,0.08417469916827648,3.737773440689425,0.013828711547264063,9.32327326414964,0.0344934915644496,2.2283157897107166,0.008244142343319693,3.7290774176756263,0.01031346163616753,9.30158243666759,0.02572526737082761,2.2231315575209343,0.006148486465302966
Average,,3.7765283190065992,0.14632106549204754,9.419941060259625,0.3649743087778677,2.2514199474807897,0.08723095334079053,3.7622440192838598,0.013846664360180328,9.384311177438915,0.034538271962013666,2.242904201108728,0.008254845115204029,3.7573209276867643,0.01032374997598432,9.372031319124206,0.02575092997587001,2.2399692445325536,0.006154619975112335
