Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,9_1_switch-potential-switch.xvg,3.4653026183499587,0.1396677866988657,8.643638724098476,0.34837877743395496,2.0658792361612033,0.08326452615534295,3.3848725398792414,0.013691656547539415,8.4430188598562,0.03415162996290342,2.0179299378241393,0.008162435459584947,3.3776959563275883,0.010263079689226929,8.425118029156648,0.025599597726489703,2.0136515366053174,0.006118450699447825
sim_1,9_1_switch-potential-switch.xvg,3.676446346567252,0.14106334119676375,9.170302714684828,0.3518597631452015,2.191754950928496,0.08409650170774413,3.419743566491606,0.013682819888685244,8.529999014022136,0.03412958834199012,2.038718693599937,0.008157167385752895,3.414466043608326,0.010237029316178441,8.516835084003535,0.02553461927062073,2.035572438815376,0.006102920475769772
sim_2,9_1_switch-potential-switch.xvg,3.346599332389374,0.14266930273476733,8.347552513972563,0.35586557529730445,1.9951129335498474,0.08505391378998671,3.5140891570496375,0.013664205831153131,8.765328879782503,0.0340831585763341,2.0949638814011715,0.008146070405433579,3.508905887580251,0.010219739433132818,8.752400049709832,0.025491492444745,2.0918738168522544,0.006092612917004062
sim_3,9_1_switch-potential-switch.xvg,3.5068136449810163,0.14329716465608985,8.747181287846095,0.357431675639535,2.0906265028312845,0.08542822075514697,3.4464577982486144,0.013669270208303672,8.596633358415808,0.03409579084868459,2.054644684133797,0.008149089590985798,3.4417068868599783,0.010228544221282923,8.584782975873134,0.02551345456932504,2.0518123747306722,0.006097861990756462
sim_4,9_1_switch-potential-switch.xvg,3.4922996255138106,0.13639355776210726,8.710978406156993,0.34021174120471936,2.0819738064428757,0.08131255764931151,3.4657588570517444,0.013655200469119699,8.64477673798774,0.03406069615253754,2.066151228008542,0.008140701757298648,3.458490289855833,0.010227319248005963,8.626646468916693,0.025510399070969234,2.0618179897028424,0.0060971317091226655
sim_5,9_1_switch-potential-switch.xvg,3.60341157472743,0.1397428387447187,8.988129250601919,0.34856598266284977,2.1482144480406116,0.08330926927888377,3.437367977916507,0.013666188138131582,8.573960267009115,0.03408810312151502,2.0492256852316237,0.00814725218009441,3.4259597355761517,0.0102403892664645,8.545504245666324,0.025543000124936262,2.042424532903041,0.006104923548024919
sim_6,9_1_switch-potential-switch.xvg,3.519836265561322,0.13731561835379116,8.7796641154471,0.34251167270104543,2.0983900849538957,0.08186225446965711,3.495620708672094,0.013664466439236439,8.719262312688238,0.034083808621184083,2.083953707621472,0.008146225769881473,3.493116076273686,0.010213821977106862,8.71301491095372,0.02547673230466856,2.0824605427709653,0.0060890851588595975
sim_7,9_1_switch-potential-switch.xvg,3.534858841977714,0.13787854895478627,8.817135510459142,0.34391581233259605,2.107345963302854,0.08219785189593595,3.4583514998742704,0.013670355136083938,8.626300279682656,0.03409849702612626,2.0617352484901184,0.008149736382917366,3.449327707482264,0.010229625721270043,8.603791884327878,0.025516152196689318,2.056355612889072,0.006098506739170486
sim_8,9_1_switch-potential-switch.xvg,3.4665934044126097,0.1364699906783313,8.6468583818382,0.3404023907921382,2.0666487528293978,0.08135812399429689,3.485990288824878,0.013651620290321522,8.69524078294364,0.03405176597370258,2.0782124242217113,0.008138567393332356,3.4800602723102636,0.010215433539878997,8.680449312753176,0.0254807520881962,2.074677178000281,0.006090045910180736
sim_9,9_1_switch-potential-switch.xvg,3.2887118302942335,0.1393140530728552,8.20316147230673,0.34749644593089674,1.9606026463448205,0.08305364386493708,3.4229381771775724,0.013660606577332967,8.537967455360397,0.03407418081793197,2.0406231967878576,0.008143924669677812,3.4164001581215633,0.010227441050295867,8.521659420849309,0.025510702887145093,2.0367254829945765,0.006097204322931428
Average,,3.490087348477472,0.13938122028530767,8.705460237741203,0.3476639837140242,2.0806549325385286,0.08309368635612431,3.4531190571186166,0.01366763895259076,8.613248794774844,0.03409172194429096,2.058615868732037,0.008148117099495929,3.4466129013995905,0.010230242346284335,8.597020238221024,0.025517690268378513,2.05473715062644,0.006098874347126795
