file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_4_1.1_1.2_potential-switch_sim_4_analysis.log,3.5573569454950063,0.14105053103229337,3.444512514442744,0.013685586447361205,3.4373238952102736,
sim_5_1.1_1.2_potential-switch_sim_5_analysis.log,3.5424990738027713,0.1357448667173569,3.466380450829032,0.013681114861989922,3.458497144604605,
sim_3_1.1_1.2_potential-switch_sim_3_analysis.log,3.574159722082838,0.1334116014379699,3.455831538562098,0.013666213187920703,3.4525303361212654,
sim_6_1.1_1.2_potential-switch_sim_6_analysis.log,3.4232866456542808,0.13640522928753873,3.4367243384163757,0.01368769875989483,3.4303064851405654,
sim_1_1.1_1.2_potential-switch_sim_1_analysis.log,3.421405128560603,0.14191544551563418,3.448366747649022,0.013683770952317716,3.4468923217088308,
sim_0_1.1_1.2_potential-switch_sim_0_analysis.log,3.450467621108379,0.13588937855899283,3.471618787912959,0.013671901590778152,3.460345362930283,
sim_7_1.1_1.2_potential-switch_sim_7_analysis.log,3.7152849974884674,0.13786664297074241,3.4878560112485513,0.013675094334852589,3.4795052720915485,
sim_8_1.1_1.2_potential-switch_sim_8_analysis.log,3.5991703197278766,0.1380968673211742,3.4785493890997703,0.013681609323078768,3.475085925508197,
sim_2_1.1_1.2_potential-switch_sim_2_analysis.log,3.422503349625495,0.13966777139585565,3.4322038540556434,0.013681267032630319,3.4288489987119855,
sim_9_1.1_1.2_potential-switch_sim_9_analysis.log,3.542345291254731,0.14120147929302682,3.441336242403576,0.013692294508696877,3.4377644577252826,
