file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_7_1.1_1.2_potential-shift_sim_7_analysis.log,3.293883624175251,0.13909242416616904,3.450417691370264,0.01369729462211721,3.4418090020697205,
sim_3_1.1_1.2_potential-shift_sim_3_analysis.log,3.56187292130577,0.14182109924368094,3.5357528734309334,0.013677197524782612,3.5284162259486083,
sim_6_1.1_1.2_potential-shift_sim_6_analysis.log,3.4730319725839176,0.13625880433984305,3.474802537650371,0.01369255937800196,3.4635542602515224,
sim_8_1.1_1.2_potential-shift_sim_8_analysis.log,3.4469600724642335,0.13505081610668854,3.4856082993372794,0.013689013708323157,3.4812404899489926,
sim_4_1.1_1.2_potential-shift_sim_4_analysis.log,3.5144022721110297,0.1358185260184502,3.5440828525799457,0.013648958762555972,3.5373423472298953,
sim_0_1.1_1.2_potential-shift_sim_0_analysis.log,3.3305232206276507,0.14325261252673557,3.4966501841275477,0.013671456167175626,3.4951964507277284,
sim_9_1.1_1.2_potential-shift_sim_9_analysis.log,3.3236145431430706,0.13862230732568287,3.520207362442502,0.013669615651426673,3.5150446996237505,
sim_5_1.1_1.2_potential-shift_sim_5_analysis.log,3.235812844960782,0.1383329895377922,3.496158353787303,0.013706353822650163,3.4924997590571705,
sim_2_1.1_1.2_potential-shift_sim_2_analysis.log,3.4932430745478955,0.13800372251047963,3.5035230727089193,0.013679306405852257,3.504155022073232,
sim_1_1.1_1.2_potential-shift_sim_1_analysis.log,3.5404667976951396,0.13523438935350343,3.4769165604536614,0.01369090152439806,3.4691082092148053,
